
MeasDateTime,snow depth  platform;  ultrasonic depth pinger on platform; (cm)
2017-12-05 00:00:00,99.75
2017-12-05 01:00:00,99.70
2017-12-05 02:00:00,99.73
2017-12-05 03:00:00,99.63
2017-12-05 04:00:00,99.88
2017-12-05 05:00:00,99.64
2017-12-05 06:00:00,99.43
2017-12-05 07:00:00,99.54
2017-12-05 08:00:00,97.60
2017-12-05 09:00:00,97.00
2017-12-05 10:00:00,96.89
2017-12-05 11:00:00,96.35
2017-12-05 12:00:00,96.18
2017-12-05 13:00:00,95.90
2017-12-05 14:00:00,96.27
2017-12-05 15:00:00,97.79
2017-12-05 16:00:00,99.54
2017-12-05 17:00:00,99.63
2017-12-05 18:00:00,99.79
2017-12-05 19:00:00,99.50
2017-12-05 20:00:00,99.38
2017-12-05 21:00:00,99.10
2017-12-05 22:00:00,99.15
2017-12-05 23:00:00,99.31
2017-12-06 00:00:00,99.23
2017-12-06 01:00:00,99.54
2017-12-06 02:00:00,99.39
2017-12-06 03:00:00,99.42
2017-12-06 04:00:00,99.38
2017-12-06 05:00:00,99.58
2017-12-06 06:00:00,99.42
2017-12-06 07:00:00,99.04
2017-12-06 08:00:00,96.58
2017-12-06 09:00:00,95.40
2017-12-06 10:00:00,95.23
2017-12-06 11:00:00,95.96
2017-12-06 12:00:00,95.45
2017-12-06 13:00:00,94.67
2017-12-06 14:00:00,95.64
2017-12-06 15:00:00,97.50
2017-12-06 16:00:00,99.16
2017-12-06 17:00:00,99.14
2017-12-06 18:00:00,99.08
2017-12-06 19:00:00,99.41
2017-12-06 20:00:00,99.35
2017-12-06 21:00:00,99.23
2017-12-06 22:00:00,99.15
2017-12-06 23:00:00,99.58
2017-12-07 00:00:00,99.41
2017-12-07 01:00:00,99.17
2017-12-07 02:00:00,98.88
2017-12-07 03:00:00,99.22
2017-12-07 04:00:00,99.53
2017-12-07 05:00:00,99.29
2017-12-07 06:00:00,99.52
2017-12-07 07:00:00,99.23
2017-12-07 08:00:00,96.39
2017-12-07 09:00:00,95.98
2017-12-07 10:00:00,96.40
2017-12-07 11:00:00,96.25
2017-12-07 12:00:00,95.66
2017-12-07 13:00:00,95.07
2017-12-07 14:00:00,95.50
2017-12-07 15:00:00,97.13
2017-12-07 16:00:00,98.39
2017-12-07 17:00:00,98.68
2017-12-07 18:00:00,99.11
2017-12-07 19:00:00,98.83
2017-12-07 20:00:00,98.87
